date,home_team,away_team,home_score,away_score,tournament,neutral
2014-06-24,Costa Rica,England,0,0,FIFA World Cup,TRUE
2014-06-24,Honduras,Switzerland,0,3,FIFA World Cup,TRUE
2014-06-24,Ecuador,France,0,0,FIFA World Cup,TRUE
2014-06-24,Nigeria,Argentina,2,3,FIFA World Cup,TRUE
2014-06-24,Bosnia and Herzegovina,Iran,3,1,FIFA World Cup,TRUE
2014-06-24,United States,Germany,0,1,FIFA World Cup,TRUE
2014-06-24,Portugal,Ghana,2,1,FIFA World Cup,TRUE
2014-06-24,South Korea,Belgium,0,1,FIFA World Cup,TRUE
2014-06-24,Algeria,Russia,1,1,FIFA World Cup,TRUE
2014-06-29,Brazil,Chile,1,1,FIFA World Cup,FALSE
2014-06-29,Colombia,Uruguay,2,0,FIFA World Cup,TRUE
2014-06-29,France,Nigeria,2,0,FIFA World Cup,TRUE
2014-06-29,Germany,Algeria,2,1,FIFA World Cup,TRUE
2014-06-29,Netherlands,Mexico,2,1,FIFA World Cup,TRUE
2014-06-29,Costa Rica,Greece,1,1,FIFA World Cup,TRUE
2014-06-29,Argentina,Switzerland,1,0,FIFA World Cup,TRUE
2014-06-29,Belgium,United States,2,1,FIFA World Cup,TRUE
2014-07-04,France,Germany,0,1,FIFA World Cup,TRUE
2014-07-04,Brazil,Colombia,2,1,FIFA World Cup,FALSE
2014-07-04,Argentina,Belgium,1,0,FIFA World Cup,TRUE
2014-07-04,Netherlands,Costa Rica,0,0,FIFA World Cup,TRUE
2014-07-08,Brazil,Germany,1,7,FIFA World Cup,FALSE
2014-07-08,Netherlands,Argentina,0,0,FIFA World Cup,TRUE
2014-07-12,Brazil,Netherlands,0,3,FIFA World Cup,FALSE
2014-07-13,Germany,Argentina,1,0,FIFA World Cup,TRUE
2018-06-15,Russia,Saudi Arabia,5,0,FIFA World Cup,FALSE
2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,TRUE
2018-06-15,Morocco,Iran,0,1,FIFA World Cup,TRUE
2018-06-15,Portugal,Spain,3,3,FIFA World Cup,TRUE
2018-06-15,France,Australia,2,1,FIFA World Cup,TRUE
2018-06-15,Peru,Denmark,0,1,FIFA World Cup,TRUE
2018-06-15,Argentina,Iceland,1,1,FIFA World Cup,TRUE
2018-06-15,Croatia,Nigeria,2,0,FIFA World Cup,TRUE
2018-06-15,Costa Rica,Serbia,0,1,FIFA World Cup,TRUE
2018-06-15,Brazil,Switzerland,1,1,FIFA World Cup,TRUE
2018-06-15,Germany,Mexico,0,1,FIFA World Cup,TRUE
2018-06-15,Sweden,South Korea,1,0,FIFA World Cup,TRUE
2018-06-15,Belgium,Panama,3,0,FIFA World Cup,TRUE
2018-06-15,Tunisia,England,1,2,FIFA World Cup,TRUE
2018-06-15,Colombia,Japan,1,2,FIFA World Cup,TRUE
2018-06-15,Poland,Senegal,1,2,FIFA World Cup,TRUE
2018-06-20,Russia,Egypt,3,1,FIFA World Cup,FALSE
2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,TRUE
2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,TRUE
2018-06-20,Iran,Spain,0,1,FIFA World Cup,TRUE
2018-06-20,Denmark,Australia,1,1,FIFA World Cup,TRUE
2018-06-20,France,Peru,1,0,FIFA World Cup,TRUE
2018-06-20,Argentina,Croatia,0,3,FIFA World Cup,TRUE
2018-06-20,Nigeria,Iceland,2,0,FIFA World Cup,TRUE
2018-06-20,Brazil,Costa Rica,2,0,FIFA World Cup,TRUE
2018-06-20,Serbia,Switzerland,1,2,FIFA World Cup,TRUE
2018-06-20,South Korea,Mexico,1,2,FIFA World Cup,TRUE
2018-06-20,Germany,Sweden,2,1,FIFA World Cup,TRUE
2018-06-20,Belgium,Tunisia,5,2,FIFA World Cup,TRUE
2018-06-20,England,Panama,6,1,FIFA World Cup,TRUE
2018-06-20,Japan,Senegal,2,2,FIFA World Cup,TRUE
2018-06-20,Poland,Colombia,0,3,FIFA World Cup,TRUE
2018-06-26,Russia,Uruguay,0,3,FIFA World Cup,FALSE
2018-06-26,Saudi Arabia,Egypt,2,1,FIFA World Cup,TRUE
2018-06-26,Iran,Portugal,1,1,FIFA World Cup,TRUE
2018-06-26,Spain,Morocco,2,2,FIFA World Cup,TRUE
2018-06-26,Denmark,France,0,0,FIFA World Cup,TRUE
2018-06-26,Australia,Peru,0,2,FIFA World Cup,TRUE
2018-06-26,Nigeria,Argentina,1,2,FIFA World Cup,TRUE
2018-06-26,Iceland,Croatia,1,2,FIFA World Cup,TRUE
2018-06-26,Serbia,Brazil,0,2,FIFA World Cup,TRUE
2018-06-26,Switzerland,Costa Rica,2,2,FIFA World Cup,TRUE
2018-06-26,South Korea,Germany,2,0,FIFA World Cup,TRUE
2018-06-26,Mexico,Sweden,0,3,FIFA World Cup,TRUE
2018-06-26,England,Belgium,0,1,FIFA World Cup,TRUE
2018-06-26,Panama,Tunisia,1,2,FIFA World Cup,TRUE
2018-06-26,Japan,Poland,0,1,FIFA World Cup,TRUE
2018-06-26,Senegal,Colombia,0,1,FIFA World Cup,TRUE
2018-07-01,France,Argentina,4,3,FIFA World Cup,TRUE
2018-07-01,Uruguay,Portugal,2,1,FIFA World Cup,TRUE
2018-07-01,Russia,Spain,1,1,FIFA World Cup,FALSE
2018-07-01,Croatia,Denmark,1,1,FIFA World Cup,TRUE
2018-07-01,Brazil,Mexico,2,0,FIFA World Cup,TRUE
2018-07-01,Belgium,Japan,3,2,FIFA World Cup,TRUE
2018-07-01,Sweden,Switzerland,1,0,FIFA World Cup,TRUE
2018-07-01,Colombia,England,1,1,FIFA World Cup,TRUE
2018-07-06,Uruguay,France,0,2,FIFA World Cup,TRUE
2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,TRUE
2018-07-06,Sweden,England,0,2,FIFA World Cup,TRUE
2018-07-06,Russia,Croatia,2,2,FIFA World Cup,FALSE
2018-07-10,France,Belgium,1,0,FIFA World Cup,TRUE
2018-07-10,Croatia,England,2,1,FIFA World Cup,TRUE
2018-07-14,Belgium,England,2,0,FIFA World Cup,TRUE
2018-07-15,France,Croatia,4,2,FIFA World Cup,TRUE
2022-11-22,Qatar,Ecuador,0,2,FIFA World Cup,FALSE
2022-11-22,Senegal,Netherlands,0,2,FIFA World Cup,TRUE
2022-11-22,England,Iran,6,2,FIFA World Cup,TRUE
2022-11-22,United States,Wales,1,1,FIFA World Cup,TRUE
2022-11-22,Argentina,Saudi Arabia,1,2,FIFA World Cup,TRUE
2022-11-22,Mexico,Poland,0,0,FIFA World Cup,TRUE
2022-11-22,Denmark,Tunisia,0,0,FIFA World Cup,TRUE
2022-11-22,France,Australia,4,1,FIFA World Cup,TRUE
2022-11-22,Germany,Japan,1,2,FIFA World Cup,TRUE
2022-11-22,Spain,Costa Rica,7,0,FIFA World Cup,TRUE
2022-11-22,Morocco,Croatia,0,0,FIFA World Cup,TRUE
2022-11-22,Belgium,Canada,1,0,FIFA World Cup,TRUE
2022-11-22,Switzerland,Cameroon,1,0,FIFA World Cup,TRUE
2022-11-22,Brazil,Serbia,2,0,FIFA World Cup,TRUE
2022-11-22,Uruguay,South Korea,0,0,FIFA World Cup,TRUE
2022-11-22,Portugal,Ghana,3,2,FIFA World Cup,TRUE
2022-11-26,Qatar,Senegal,1,3,FIFA World Cup,FALSE
2022-11-26,Netherlands,Ecuador,1,1,FIFA World Cup,TRUE
2022-11-26,Wales,Iran,0,2,FIFA World Cup,TRUE
2022-11-26,England,United States,0,0,FIFA World Cup,TRUE
2022-11-26,Poland,Saudi Arabia,2,0,FIFA World Cup,TRUE
2022-11-26,Argentina,Mexico,2,0,FIFA World Cup,TRUE
2022-11-26,Tunisia,Australia,0,1,FIFA World Cup,TRUE
2022-11-26,France,Denmark,2,1,FIFA World Cup,TRUE
2022-11-26,Japan,Costa Rica,0,1,FIFA World Cup,TRUE
2022-11-26,Spain,Germany,1,1,FIFA World Cup,TRUE
2022-11-26,Belgium,Morocco,0,2,FIFA World Cup,TRUE
2022-11-26,Croatia,Canada,4,1,FIFA World Cup,TRUE
2022-11-26,Cameroon,Serbia,3,3,FIFA World Cup,TRUE
2022-11-26,Brazil,Switzerland,1,0,FIFA World Cup,TRUE
2022-11-26,South Korea,Ghana,2,3,FIFA World Cup,TRUE
2022-11-26,Portugal,Uruguay,2,0,FIFA World Cup,TRUE
2022-11-30,Qatar,Netherlands,0,2,FIFA World Cup,FALSE
2022-11-30,Ecuador,Senegal,1,2,FIFA World Cup,TRUE
2022-11-30,Wales,England,0,3,FIFA World Cup,TRUE
2022-11-30,Iran,United States,0,1,FIFA World Cup,TRUE
2022-11-30,Poland,Argentina,0,2,FIFA World Cup,TRUE
2022-11-30,Saudi Arabia,Mexico,1,2,FIFA World Cup,TRUE
2022-11-30,Australia,Denmark,1,0,FIFA World Cup,TRUE
2022-11-30,Tunisia,France,1,0,FIFA World Cup,TRUE
2022-11-30,Japan,Spain,2,1,FIFA World Cup,TRUE
2022-11-30,Costa Rica,Germany,2,4,FIFA World Cup,TRUE
2022-11-30,Croatia,Belgium,0,0,FIFA World Cup,TRUE
2022-11-30,Canada,Morocco,1,2,FIFA World Cup,TRUE
2022-11-30,Serbia,Switzerland,2,3,FIFA World Cup,TRUE
2022-11-30,Cameroon,Brazil,1,0,FIFA World Cup,TRUE
2022-11-30,Ghana,Uruguay,0,2,FIFA World Cup,TRUE
2022-11-30,South Korea,Portugal,2,1,FIFA World Cup,TRUE
2022-12-04,Netherlands,United States,3,1,FIFA World Cup,TRUE
2022-12-04,Argentina,Australia,2,1,FIFA World Cup,TRUE
2022-12-04,France,Poland,3,1,FIFA World Cup,TRUE
2022-12-04,England,Senegal,3,0,FIFA World Cup,TRUE
2022-12-04,Japan,Croatia,1,1,FIFA World Cup,TRUE
2022-12-04,Brazil,South Korea,4,1,FIFA World Cup,TRUE
2022-12-04,Morocco,Spain,0,0,FIFA World Cup,TRUE
2022-12-04,Portugal,Switzerland,6,1,FIFA World Cup,TRUE
2022-12-09,Croatia,Brazil,1,1,FIFA World Cup,TRUE
2022-12-09,Netherlands,Argentina,2,2,FIFA World Cup,TRUE
2022-12-09,Morocco,Portugal,1,0,FIFA World Cup,TRUE
2022-12-09,England,France,1,2,FIFA World Cup,TRUE
2022-12-13,Argentina,Croatia,3,0,FIFA World Cup,TRUE
2022-12-13,France,Morocco,2,0,FIFA World Cup,TRUE
2022-12-17,Croatia,Morocco,2,1,FIFA World Cup,TRUE
2022-12-18,Argentina,France,3,3,FIFA World Cup,TRUE
